country_code,year,Country,Time,gdp_per_capita,primary_education,secondary_education,tertiary_education,adolescent_fertility
LMC,YR2022,Lower middle income,2022,2493.61487371356,101.259239196777,68.8880081176758,25.6742095947266,42.0659679822378
LMC,YR2021,Lower middle income,2021,2369.9577651033,98.0990524291992,68.5112686157227,24.9580802917481,42.2803797423032
LMC,YR2020,Lower middle income,2020,2121.61421722256,97.7965698242188,67.2740707397461,23.7904491424561,42.603540734233
LIC,YR2024,Low income,2024,751.322764042233,97.5728912353516,41.4877090454102,,95.3280430909193
LIC,YR2023,Low income,2023,714.151764242762,96.9804000854492,41.2906608581543,,96.7045198171051
LIC,YR2022,Low income,2022,734.204117595357,96.6072082519531,41.4288291931152,,97.724880873097
LIC,YR2021,Low income,2021,651.812637638679,99.4292221069336,41.3215103149414,9.28015041351318,98.816834386563
LIC,YR2020,Low income,2020,605.437906755342,100.429161071777,40.6751289367676,9.19797039031982,100.140418201401
LMY,YR2024,Low & middle income,2024,6002.45120765259,102.346519470215,73.9114227294922,38.7901611328125,41.7078342796287
LMY,YR2023,Low & middle income,2023,5856.29495195922,100.773902893066,73.8575210571289,38.2484283447266,42.4290705184968
LMY,YR2022,Low & middle income,2022,5741.78381882953,100.429801940918,74.0918502807617,37.0190887451172,42.6099956922508
LMY,YR2021,Low & middle income,2021,5524.24398933119,99.3599472045898,73.7843627929688,35.8265914916992,43.0681963371115
LMY,YR2020,Low & middle income,2020,4732.82727829687,99.5065307617188,72.8933029174805,34.3418502807617,43.5524799104683
LDC,YR2024,Least developed countries: UN classification,2024,1293.40100322932,100.6826171875,46.8867797851562,11.0492496490478,89.4540896811561
LDC,YR2023,Least developed countries: UN classification,2023,1257.69806699331,100.326972961426,46.8281211853027,11.1316499710083,90.6429360798827
LDC,YR2022,Least developed countries: UN classification,2022,1299.36172423082,100.303939819336,47.1495704650879,10.8424100875854,91.2888118094379
LDC,YR2021,Least developed countries: UN classification,2021,1175.55718251136,102.418258666992,47.2416381835938,10.6617698669434,92.4487646075338
LDC,YR2020,Least developed countries: UN classification,2020,1088.72161311357,103.261260986328,47.123161315918,10.5179395675659,93.908882012801
TLA,YR2024,Latin America & the Caribbean (IDA & IBRD countries),2024,10474.2809944408,104.723831176758,98.0442428588867,59.0615386962891,50.5542403248079
TLA,YR2023,Latin America & the Caribbean (IDA & IBRD countries),2023,10260.5196915782,104.740417480469,97.5160369873047,60.7355194091797,51.4458872588275
TLA,YR2022,Latin America & the Caribbean (IDA & IBRD countries),2022,9174.55690452428,105.142028808594,96.9736022949219,58.2713890075684,51.9044514597769
TLA,YR2021,Latin America & the Caribbean (IDA & IBRD countries),2021,8075.78816650564,105.184913635254,97.3780975341797,56.7357902526855,53.4988051966088
TLA,YR2020,Latin America & the Caribbean (IDA & IBRD countries),2020,6964.3711102796,105.986572265625,97.0555877685547,54.8506698608398,55.0198513505673
LAC,YR2024,Latin America & Caribbean (excluding high income),2024,10382.3911125152,104.340461730957,97.849609375,56.6634292602539,50.6668296088998
LAC,YR2023,Latin America & Caribbean (excluding high income),2023,10196.271088969,104.517082214355,97.3537902832031,58.5862693786621,51.5980401111905
LAC,YR2022,Latin America & Caribbean (excluding high income),2022,9111.34927084769,105.021293640137,96.8845901489258,56.1285705566406,52.087815992828
LAC,YR2021,Latin America & Caribbean (excluding high income),2021,7970.6164425206,105.274742126465,97.3833618164062,54.614860534668,53.8283433893739
LAC,YR2020,Latin America & Caribbean (excluding high income),2020,6904.27677369596,106.388076782227,97.2736892700195,52.8043212890625,55.279513717372
LCN,YR2024,Latin America & Caribbean,2024,10737.6463538652,104.589141845703,98.0161209106445,58.9027099609375,50.3613396536074
LCN,YR2023,Latin America & Caribbean,2023,10508.6472548025,104.617652893066,97.5462493896484,60.6225090026855,51.2452977694597
LCN,YR2022,Latin America & Caribbean,2022,9408.84820249156,105.029968261719,97.0838012695312,58.2350807189941,51.683926441124
LCN,YR2021,Latin America & Caribbean,2021,8291.07156305024,105.08177947998,97.418701171875,56.7638816833496,53.2574381698757
LCN,YR2020,Latin America & Caribbean,2020,7168.64740599577,105.879936218262,97.1172180175781,54.8686599731445,54.7793717820761
LTE,YR2024,Late-demographic dividend,2024,12874.1679137972,100.273399353027,94.1665420532227,69.3638916015625,14.7216915232322
LTE,YR2023,Late-demographic dividend,2023,12437.9861721907,99.9659118652344,93.8114471435547,68.1330413818359,15.2175011439248
LTE,YR2022,Late-demographic dividend,2022,12286.0846812169,100.715881347656,93.5337371826172,65.5056533813477,15.5870601346513
LTE,YR2021,Late-demographic dividend,2021,11759.7974990154,100.279541015625,93.1393737792969,61.8659400939941,16.5188425728125
LTE,YR2020,Late-demographic dividend,2020,9873.93519864422,100.25121307373,92.259880065918,57.8864784240723,17.5288758625054
IDA,YR2024,IDA total,2024,1485.92227405633,97.2686233520508,49.8824882507324,12.7190599441528,77.3131206013332
IDA,YR2023,IDA total,2023,1536.08719237098,96.6761322021484,49.1449699401855,12.314169883728,78.7125705589741
IDA,YR2022,IDA total,2022,1647.52732460307,95.7544326782227,48.4808082580566,12.0069704055786,79.5112044343044
IDA,YR2021,IDA total,2021,1566.13709936781,96.5524978637695,48.3628692626953,12.1378402709961,80.6035988373894
IDA,YR2020,IDA total,2020,1464.52261402905,97.0377807617188,48.1654510498047,11.8063497543335,81.6770359349364
IDX,YR2024,IDA only,2024,1398.11181264033,100.371231079102,49.2888603210449,12.8071804046631,84.2569481005915
IDX,YR2023,IDA only,2023,1333.20971979026,99.9170379638672,49.1937789916992,12.8625402450562,85.4248986817523
IDX,YR2022,IDA only,2022,1332.31730178708,99.6045913696289,49.1855697631836,12.5317802429199,86.0976359095582
IDX,YR2021,IDA only,2021,1256.19296430735,101.443641662598,49.3171501159668,12.3128900527954,87.2475168925381
IDX,YR2020,IDA only,2020,1170.98051516892,102.127586364746,49.1507911682129,12.1009197235107,88.7101747376341
IDB,YR2024,IDA blend,2024,1650.63788113049,91.0903167724609,51.6991004943848,12.5017795562744,64.3965856513847
IDB,YR2023,IDA blend,2023,1915.31328433422,90.1945037841797,49.7783699035645,11.2455501556397,66.0676025803856
IDB,YR2022,IDA blend,2022,2234.83616206483,87.8811798095703,47.5066413879395,10.9789304733276,66.9947152786196
IDB,YR2021,IDA blend,2021,2142.31172674601,86.6772079467773,47.0853805541992,11.750789642334,67.9048236808823
IDB,YR2020,IDA blend,2020,2008.89632662853,86.9594116210938,46.746711730957,11.1854295730591,68.2054131209028
IBT,YR2024,IDA & IBRD total,2024,6327.1439970487,102.438049316406,74.2192764282227,39.3488082885742,42.0181224064647
IBT,YR2023,IDA & IBRD total,2023,6149.50554558945,100.834548950195,74.1094665527344,38.8012886047363,42.7755877079385
IBT,YR2022,IDA & IBRD total,2022,6036.81374407089,100.477813720703,74.3354263305664,37.5708808898926,42.9885450643462
IBT,YR2021,IDA & IBRD total,2021,5754.24675079938,99.400390625,74.037956237793,36.371711730957,43.4627527648599
IBT,YR2020,IDA & IBRD total,2020,4923.57218418891,99.4933319091797,73.1505279541016,34.881721496582,43.9790235717125
IBD,YR2024,IBRD only,2024,8219.91265703844,105.780838012695,87.8844375610352,52.829891204834,21.976019957802
IBD,YR2023,IBRD only,2023,7925.3992413749,103.504867553711,88.1284332275391,52.1241912841797,22.6255233189881
IBD,YR2022,IBRD only,2022,7699.23258826186,103.483993530273,88.6169586181641,50.1821708679199,22.8119900536958
IBD,YR2021,IBRD only,2021,7314.52836425795,101.189147949219,88.0158615112305,48.078239440918,23.3053589872181
